lat,lon
-33.693144,151.320884
-33.925746,151.164082
-31.732415,152.088515
-32.968624,151.644194
-33.093048,151.4163
-27.476426,152.977687
-27.400618,152.800944
-32.83969,151.70187
-33.08688,151.42057
-27.461784,152.882858
-33.699881,151.043367
-33.755278,150.623221
-33.755291,150.623651
-33.3247,151.364
-28.512268,153.421007
-33.3249,151.365
-34.897855,150.638757
-33.951844,150.87043
-33.837991,151.074188
-29.618972,152.977267
-33.397549,151.377755
-33.98233,151.246871
-33.3248,151.365
-32.875456,151.696757
-34.200613,150.705572
-33.3244,151.365
-35.828,150.172
-28.7048,152.691
-34.893736,150.636197
-32.914159,151.630539
-29.505351,152.82382
-33.836398,151.059792
-30.952236,152.858398
-34.899221,150.602194
-33.4013,151.462
-32.399014,151.662136
-34.950265,150.59958
-33.013733,151.246863
-32.832003,151.58485
-33.840416,151.07044
-32.9943,151.663
-32.7284,151.854
-33.835931,151.062409
-29.1913,152.785
-33.3249,151.364
-33.3247,151.365
-33.3251,151.365
-32.786149,151.654455
-33.836298,151.0737
-30.165866,153.160006
-33.699096,151.154258
-33.3247,151.365
-33.734903,151.233162
-34.49539,150.774962
-34.077828,151.055528
-33.835931,151.062409
-33.3245,151.365
-35.586768,150.170088
-33.773201,150.973266
-33.840416,151.07044
-33.835933,151.062409
-34.89924,150.640009
-33.4014,151.462
-33.3247,151.365
-32.830653,151.580299
-32.9864,151.593
-28.714567,153.328004
-33.757069,150.623562
-32.549159,151.241154
-34.7473,150.567
-33.3248,151.364
-28.669,153.605
-33.841557,151.072879
-33.3246,151.365
-33.245304,151.455963
-35.828,150.172
-35.828,150.173
-32.858228,151.605454
-33.3247,151.365
-35.822793,150.126062
-33.839938,151.065574
-34.923118,150.635988
-32.35784,151.78064
-33.397547,151.377767
-31.9419,152.427
-33.3249,151.365
-29.506225,152.824391
-33.1653,151.568
-34.496401,150.762648
-33.3247,151.365
-32.968734,151.644205
-29.879407,152.019201
-33.828837,151.064869
-34.934477,150.602404
-33.4013,151.463
-28.324206,153.460666
-33.086823,151.420802
-33.0456,151.391
-32.7284,151.854
-33.832463,151.068529
-33.826288,151.053592
-33.839939,151.065573
-33.8787,151.168
-33.3246,151.365
-32.988349,151.661698
-34.898025,150.637319
-33.879011,151.167911
-32.741481,151.955164
-33.242611,151.397422
-33.3251,151.365
-33.789703,151.131294
-34.496422,150.762712
-28.272723,153.405233
-32.220679,152.19531
-34.0739,151.057
-33.832488,151.068531
-31.9364,152.401
-33.824927,151.069666
-33.3246,151.365
-32.986,151.593
-34.573714,150.751613
-33.3251,151.365
-28.7047,153.088
-33.31308,151.519303
-31.4251,152.844
-28.3417,153.371
-32.098297,152.351768
-33.756166,150.623332
-33.842351,151.071565
-33.836398,151.059792
-34.887322,150.650671
-33.70752,151.177495
-30.6498,152.891
-29.555647,153.285265
-34.904247,150.629968
-31.430557,152.609895
-34.7467,150.563
-34.090927,150.77124
-33.709696,151.173482
-33.3251,151.365
-34.925895,150.641443
-30.1942,153.01
-31.003564,152.860274
-33.325,151.365
-35.8279,150.172
-31.235364,151.348036
-33.383223,151.370396
-33.3249,151.365
-35.8276,150.173
-33.430893,151.381453
-33.4021,151.464
-35.682788,150.233489
-33.672343,151.275173
-32.636114,152.150811
-33.3249,151.365
-33.841557,151.072879
-31.9436,152.428
-32.857753,151.615762
-28.471553,152.792617
-32.902107,151.486887
-32.9007,151.479
-33.835933,151.062409
-33.836398,151.059792
-33.8226,150.655
-33.259229,151.474232
-32.850206,151.609928
-33.020477,151.172052
-30.2919,153.13
-33.086548,151.420802
-33.837991,151.074188
-33.6825,151.256
-33.826424,151.060011
-33.325,151.365
-28.6584,153.24
-28.694933,153.598093
-30.321512,152.895115
-33.3244,151.365
-33.430919,151.381422
-33.067963,151.11814
-33.3248,151.365
-34.563,150.834
-32.729639,152.086897
-29.618979,152.977273
-31.553284,151.740365
-33.619,151.016
-34.072556,150.756592
-34.631775,150.854058
-33.84156,151.072878
-30.10073,153.163241
-33.086792,151.420874
-29.505368,152.82377
-29.5846,152.779
-34.495767,150.775426
-32.838129,151.616431
-32.932579,151.128686
-32.814323,151.463663
-32.748648,152.003275
-29.791083,151.14544
-28.2721,153.405
-32.742011,151.953685
-32.3207,152.484
-34.1814,150.988
-33.557322,150.799918
-30.571237,151.905197
-33.699881,151.043433
-34.49553,150.775084
-33.086992,151.420467
-32.858641,151.61576
-33.922272,151.215393
-33.3246,151.365
-32.39606,150.89162
-28.6558,153.183
-29.2296,152.016
-32.741472,151.955162
-32.894348,151.703246
-33.835933,151.062409
-33.8174,151.214
-33.717871,150.848963
-33.835933,151.062409
-33.3249,151.365
-31.968,152.508
-33.664,151.034
-28.565458,152.798191
-32.9863,151.593
-33.021446,151.170579
-33.84098,151.069813
-33.835933,151.062409
-32.850196,151.609896
-34.590271,150.863215
-35.7833,150.222
-33.1117,151.559
-34.48515,150.775199
-33.835933,151.062409
-34.946374,150.601105
-33.84098,151.069813
-33.4014,151.462
-33.94882,150.937246
-32.492758,151.100986
-33.837995,151.074188
-33.839198,151.071667
-35.024292,150.624317
-34.93565,150.601334
-32.624002,151.291288
-32.300136,151.21722
-34.0522,150.528
-33.835933,151.062409
-35.470921,150.341025
-32.8383,151.8367
-34.18411,150.699672
-34.496575,150.776865
-32.855676,151.617136
-28.307314,152.464708
-33.839938,151.065574
-33.879029,151.167876
-33.325,151.365
-31.092287,153.003193
-29.035932,152.841445
-35.79316,150.219888
-26.7601,152.850388
-17.283455,145.645724
-28.524583,153.196367
-26.823864,152.919465
-32.081748,152.446583
-32.777751,151.549533
-27.753439,153.14601
-33.231023,151.415905
-27.830331,153.257812
-26.812226,152.867108
-34.524276,150.746765
-33.878593,151.16803
-33.187157,151.4187
-26.720292,153.024163
-30.498047,151.625048
-26.858072,152.894195
-33.367473,150.720889
-26.824472,152.919903
-17.29517,145.478303
-26.911615,152.76358
-24.931855,152.239297
-21.279722,149.151382
-33.372708,150.755403
-27.758136,153.112359
-27.39447,152.493378
-33.230758,151.415772
-30.45221,152.885539
-25.928307,152.634994
-24.976336,152.216195
-34.771678,150.766647
-25.278734,152.766917
-26.387562,152.930019
-21.277956,149.147626
-33.878662,151.167878
-27.461784,152.882858
-32.096886,152.374878
-27.464119,151.937261
-30.449967,151.622987
-33.624095,150.856642
-30.255344,153.137766
-35.793241,150.219551
-26.781045,152.880967
-27.487257,152.669991
-31.059163,152.753197
-33.770742,151.115372
-27.498975,153.002625
-34.734573,150.525894
-27.964595,153.390323
-33.070934,151.125624
-30.576861,152.206089
-26.125064,152.649567
-25.026243,152.35485
-26.547202,153.087259
-27.497691,153.018211
-33.770645,151.115403
-34.858996,150.599746
-30.449992,151.623017
-33.417097,151.359119
-35.79342,150.219574
-25.278871,152.767057
-33.231158,151.415512
-27.323635,152.089865
